cluster_id,canonical_predicate,paraphrases,size,domain_signature,range_signature,inverse_candidates
15,conforms_to,"['conform_to', 'conforming_to', 'conforms_to', 'does_not_conform_to']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 0.9}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 1, 'ratio': 0.1}]","[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 0.9}, {'type_id': 71, 'label': 'tests', 'count': 1, 'ratio': 0.1}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'produced_by', 'score': 1.0243}, {'relation': 'performed_by', 'score': 0.6826}]"
36,joined_to,"['attached_to', 'belong_to', 'joined_by', 'joined_to']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}]"
50,determined_on_the_basis_of,"['determined_by', 'determined_on', 'determined_on_the_basis_of', 'used_as_reasonable_basis_for']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.8333}, {'type_id': 56, 'label': 'variability of tensile properties in plates and structural shapes', 'count': 1, 'ratio': 0.1667}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.9472}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}, {'relation': 'applies_to', 'score': 0.954}, {'relation': 'might_vary_outside', 'score': 0.9472}]"
54,published_by,"['authored_by', 'published_by', 'published_in', 'published_on']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 8, 'ratio': 0.7273}, {'type_id': 3, 'label': 'September 1974', 'count': 3, 'ratio': 0.2727}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.6708}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'is_a', 'score': 1.6708}, {'relation': 'is_a_function_of', 'score': 0.9472}]"
73,may_represent,"['may_differ_from', 'may_represent', 'represent', 'represents']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}]"
78,shall_be_marked_on,"['shall_be_legibly_marked_with', 'shall_be_legibly_marked_with_if_applicable', 'shall_be_marked_on', 'shall_be_marked_with']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 16, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 12, 'ratio': 0.75}, {'type_id': 16, 'label': 'each finished plate', 'count': 2, 'ratio': 0.125}, {'type_id': 79, 'label': 'applicable ASTM designation', 'count': 1, 'ratio': 0.0625}, {'type_id': 23, 'label': 'permanently affixed, colorfast, weather-resistant labels or tags', 'count': 1, 'ratio': 0.0625}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.9415}, {'relation': 'is_acceptable', 'score': 2.9564}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'is_a_function_of', 'score': 1.9415}, {'relation': 'is_a', 'score': 0.9851}]"
83,does_not_provide_requirements_for,"['contains_no_requirements_applicable_to', 'does_not_provide_requirements_for', 'does_not_require', 'is_required']",4,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 4.0}, {'relation': 'is_acceptable', 'score': 4.0}, {'relation': 'is_calculated_as', 'score': 4.0}]"
12,within_tolerance_of_required_tensile_strength,"['has_specified_minimum_tensile_strength', 'within_tolerance_of_required_tensile_strength', 'within_tolerance_of_required_yield_strength_or_yield_point']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 0.6667}, {'type_id': 90, 'label': 'Structural Products', 'count': 1, 'ratio': 0.3333}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'is_placed_on', 'score': 1.0}, {'relation': 'representative_of', 'score': 1.0}, {'relation': 'directly_controls_or_is_responsible_for', 'score': 1.0}]"
16,is_a_function_of,"['expressed_as_function_of', 'is_a', 'is_a_function_of']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 56, 'label': 'variability of tensile properties in plates and structural shapes', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.5}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'applies_to', 'score': 0.5211}, {'relation': 'covers', 'score': 0.5041}]"
18,applied_to,"['applied_to', 'applies_only_where', 'applies_to']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 74, 'ratio': 0.8506}, {'type_id': 56, 'label': 'variability of tensile properties in plates and structural shapes', 'count': 4, 'ratio': 0.046}, {'type_id': 78, 'label': 'a group of common requirements', 'count': 3, 'ratio': 0.0345}, {'type_id': 8, 'label': 'Practice E29 rounding method', 'count': 1, 'ratio': 0.0115}, {'type_id': 14, 'label': 'edge produced by machining', 'count': 1, 'ratio': 0.0115}]","[{'type_id': -1, 'label': 'UNK', 'count': 68, 'ratio': 0.7816}, {'type_id': 56, 'label': 'variability of tensile properties in plates and structural shapes', 'count': 3, 'ratio': 0.0345}, {'type_id': 51, 'label': 'flats with thickness ≥ 6 mm and width > 150 mm to 200 mm inclusive', 'count': 2, 'ratio': 0.023}, {'type_id': 90, 'label': 'Structural Products', 'count': 2, 'ratio': 0.023}, {'type_id': 77, 'label': 'each heat', 'count': 2, 'ratio': 0.023}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.9964}, {'relation': 'is_acceptable', 'score': 2.9964}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'is_a_function_of', 'score': 0.9964}]"
23,has_been_revised,"['has_been_revised', 'revised', 'revised_by']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.8333}, {'type_id': 4, 'label': 'Users of this standard', 'count': 1, 'ratio': 0.1667}]","[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.5}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'invited_for', 'score': 0.8536}, {'relation': 'not_exact_conversions_of', 'score': 0.5}]"
35,selected_from,"['randomly_selected_from', 'selected_for', 'selected_from']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 8, 'ratio': 0.7273}, {'type_id': 52, 'label': 'legs of bulb angles', 'count': 2, 'ratio': 0.1818}, {'type_id': 27, 'label': 'same heat', 'count': 1, 'ratio': 0.0909}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 1.9642}, {'relation': 'is_acceptable', 'score': 1.0}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'is_a', 'score': 0.9642}, {'relation': 'is_a_function_of', 'score': 0.9642}]"
46,identified_by,"['identified_by', 'identified_with', 'may_be_identified_by']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 10, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 8, 'ratio': 0.8}, {'type_id': 79, 'label': 'applicable ASTM designation', 'count': 1, 'ratio': 0.1}, {'type_id': 23, 'label': 'permanently affixed, colorfast, weather-resistant labels or tags', 'count': 1, 'ratio': 0.1}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.9375}, {'relation': 'is_a', 'score': 1.9375}, {'relation': 'is_acceptable', 'score': 1.0}, {'relation': 'is_calculated_as', 'score': 1.0}, {'relation': 'is_a_function_of', 'score': 0.9903}]"
51,based_on,"['based_on', 'based_upon', 'depend_on']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
55,has_publication_date,"['has_date', 'has_publication_date', 'publication_year']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': 3, 'label': 'September 1974', 'count': 3, 'ratio': 1.0}]","[{'relation': 'achieved_by', 'score': 1.5}, {'relation': 'offsets', 'score': 1.5}, {'relation': 'occurs_subsequent_to', 'score': 1.5}]"
56,need_not_be_reported,"['need_not_be_reported', 'reported_on', 'requires_reporting']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
57,placed_on,"['is_placed_on', 'placed_on', 'shown_on']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 0.8}, {'type_id': 90, 'label': 'Structural Products', 'count': 1, 'ratio': 0.2}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 2.0}, {'relation': 'is_acceptable', 'score': 2.0}, {'relation': 'is_calculated_as', 'score': 2.0}, {'relation': 'furnished_with', 'score': 1.0}, {'relation': 'may_require', 'score': 1.0}]"
66,may_be_performed_by,"['may_be_achieved_with', 'may_be_performed_by', 'may_be_present_in']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
67,removed_by,"['deleted_from', 'removed_by', 'should_be_removed_by']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
69,taken_until,"['taken_from', 'taken_immediately_prior_to', 'taken_until']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 11, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
70,stated_in,"['expressed_in', 'occurred_in', 'stated_in']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 9, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
71,sourced_from,"['originate_from', 'resulting_from', 'sourced_from']",3,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 3.0}, {'relation': 'is_acceptable', 'score': 3.0}, {'relation': 'is_calculated_as', 'score': 3.0}]"
0,provides_information_on,"['provides_additional_information_on', 'provides_information_on']",2,"[{'type_id': 19, 'label': 'Appendix X1', 'count': 4, 'ratio': 1.0}]","[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 0.75}, {'type_id': 56, 'label': 'variability of tensile properties in plates and structural shapes', 'count': 1, 'ratio': 0.25}]","[{'relation': 'refer_to', 'score': 0.7359}, {'relation': 'expressed_as_function_of', 'score': 0.5}, {'relation': 'conducted_by', 'score': 0.5}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.5}, {'relation': 'not_in_conflict_with', 'score': 0.5}]"
1,furnished_with,"['furnished_to', 'furnished_with']",2,"[{'type_id': 90, 'label': 'Structural Products', 'count': 3, 'ratio': 0.75}, {'type_id': 41, 'label': 'carbon', 'count': 1, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 4, 'ratio': 1.0}]","[{'relation': 'is_placed_on', 'score': 1.8536}, {'relation': 'representative_of', 'score': 1.8536}, {'relation': 'directly_controls_or_is_responsible_for', 'score': 1.8536}]"
2,does_not_purport_to_address,"['does_not_purport_to_address', 'takes_no_position_respecting']",2,"[{'type_id': 4, 'label': 'Users of this standard', 'count': 1, 'ratio': 0.5}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}]","[{'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.5}, {'type_id': 0, 'label': 'determination of the validity of any such patent rights', 'count': 1, 'ratio': 0.5}]","[{'relation': 'asserted_in_connection_with', 'score': 1.0}, {'relation': 'invited_for', 'score': 0.8536}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.5}, {'relation': 'not_exact_conversions_of', 'score': 0.5}, {'relation': 'achieved_by', 'score': 0.5}]"
3,responsible_for,"['has_responsibility_for', 'responsible_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 6, 'ratio': 0.75}, {'type_id': 4, 'label': 'Users of this standard', 'count': 2, 'ratio': 0.25}]","[{'type_id': -1, 'label': 'UNK', 'count': 5, 'ratio': 0.625}, {'type_id': 0, 'label': 'determination of the validity of any such patent rights', 'count': 2, 'ratio': 0.25}, {'type_id': 29, 'label': 'case127', 'count': 1, 'ratio': 0.125}]","[{'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.9903}, {'relation': 'is_a', 'score': 0.9903}, {'relation': 'is_a_function_of', 'score': 0.9903}, {'relation': 'asserted_in_connection_with', 'score': 0.5}]"
4,directly_controls_or_is_responsible_for,"['directly_controls', 'directly_controls_or_is_responsible_for']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 3, 'ratio': 1.0}]","[{'type_id': 89, 'label': 'hot-rolled steel in coiled form that is intended to be processed into a finished structural product', 'count': 1, 'ratio': 0.3333}, {'type_id': -1, 'label': 'UNK', 'count': 1, 'ratio': 0.3333}, {'type_id': 90, 'label': 'Structural Products', 'count': 1, 'ratio': 0.3333}]","[{'relation': 'furnished_with', 'score': 1.0}, {'relation': 'may_require', 'score': 1.0}, {'relation': 'deviate_from', 'score': 1.0}, {'relation': 'within_tolerance_of_required_yield_strength_or_yield_point', 'score': 0.8536}, {'relation': 'is_acceptable', 'score': 0.8536}]"
5,perpendicular_to,"['parallel_to', 'perpendicular_to']",2,"[{'type_id': -1, 'label': 'UNK', 'count': 2, 'ratio': 1.0}]","[{'type_id': 10, 'label': 'rolling between horizontal finishing rolls', 'count': 2, 'ratio': 1.0}]","[{'relation': 'achieved_by', 'score': 1.0}, {'relation': 'offsets', 'score': 1.0}, {'relation': 'occurs_subsequent_to', 'score': 1.0}]"
